InspectionID,PropertyType,PropertyID,PropertyName,PropertyStreetAddress,CityState,PropertyZip
INSP-32239,MFH,800022618,MARCUS PLACE,203 N LAKE ST,"COLFAX, WA",99111
INSP-33078,MFH,800022628,Meadow Park Garden,5704 Hannah Pierce Rd W,"UNIVERSITY PLACE, WA",98467
INSP-32241,MFH,800022680,PENNSYLVANIA PLACE,103 E Pennsylvania Ave,"Roslyn, WA",98941
INSP-32242,MFH,800022736,Camas Court,23 2nd Ave SW,"Soap Lake, WA",98851
INSP-32243,MFH,800022764,TAMARACK,3511 Almira Dr,"BREMERTON, WA",98310
INSP-46803,MFH,800023393,SUNRISE MANOR,612 SOBOTTA ST,"Arcadia, WI",54612
INSP-33084,MFH,800023779,REMS,2209 Nighthawk Drive,"LARAMIE, WY",82072
INSP-26622,MFH,800023807,WORLAND GARDENS,2100 MORGAN AVE,"WORLAND, WY",82401
INSP-30516,MFH,800023815,Christina Apartments,1201 Prospect Ave,"Miami, AZ",85539
INSP-33477,MFH,800048567,Rosewood,1617 RUSSELL ST,"BERKELEY, CA",94703
INSP-34436,MFH,800052383,Florin Meadows II,7301 29th St,"Sacramento, CA",95822
INSP-33915,MFH,800056805,Continuum,337 Hartford Ave.,"WETHERSFIELD, CT",06117
INSP-33146,MFH,800061244,JERUSALEM JUDSON,4855 Ridge Avenue,"Cincinnati, OH",45209
INSP-32800,MFH,800066282,Eagle Wing Estates,85 Jacksonwood Ct,"HATTIESBURG, MS",39401
INSP-33756,MFH,800066412,PAUL BRASWELL,1015 White St,"CLEVELAND, MS",38732
INSP-33007,MFH,800069929,GRANVILLE,7500 NORTH GRANVILLE ROAD,"MILWAUKEE, WI",53223
INSP-34438,MFH,800076072,Muirfield,712 LAGUNA DRIVE,"ROHNERT PARK, CA",94928
INSP-31120,MFH,800078483,HALE O MANA'O LANA,325 MAHALANI ST,"WAILUKU, HI",96793
INSP-34358,MFH,800112233,Orange Y Housing,132 William St,"ORANGE, NJ",07050
INSP-32801,MFH,800112274,CAMBRIDGE,122 Cambridge Ave,"Rutledge, TN",37861
INSP-34165,MFH,800112386,Independence,4040 Harrison St,"BATESVILLE, AR",72501
INSP-32095,MFH,800211235,HARPER VILLAGE,711 DIXIE AVENUE,"MENDENHALL, MS",39114
INSP-34215,MFH,800211340,RESERVE AT INDIAN,5206 Indian Hills Road,"ORLANDO, FL",32808
INSP-32804,MFH,800211833,Brookvale Gardens,1201 Hoffman Avenue,"ETOWAH, TN",37331
